Name,GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,target_5yrs
Player_33,55,12.4,17.0,3.3,6.3,0.524,1.9,4.2,0.452,0.9,1.1,0.818,3.1,3.4,6.6,1.6,1.1,1.4,1.9,0
Player_34,64,22.7,10.7,2.0,3.6,0.556,2.9,8.3,0.349,3.5,4.1,0.854,3.7,6.8,10.6,9.0,1.4,1.0,2.3,0
Player_35,3,24.6,17.6,4.3,11.9,0.361,2.1,5.2,0.404,1.2,1.7,0.706,2.1,2.1,4.4,2.3,0.4,2.1,1.5,0
Player_36,51,24.1,4.6,0.9,2.0,0.45,2.8,8.5,0.329,0.9,1.1,0.818,0.4,6.0,6.5,2.9,1.2,1.5,1.0,1
Player_37,7,8.0,13.6,2.7,6.5,0.415,1.6,4.0,0.4,6.5,8.9,0.73,2.4,6.2,8.8,8.5,0.3,0.5,0.9,0
Player_38,21,34.0,19.0,4.5,8.5,0.529,0.4,1.6,0.25,4.2,5.9,0.712,3.1,3.6,6.9,4.6,1.6,2.7,2.0,0
Player_39,73,13.8,14.9,3.4,8.4,0.405,1.6,6.1,0.262,4.6,5.7,0.807,0.4,2.7,3.6,0.2,0.3,0.9,2.6,0
Player_40,39,9.3,12.4,2.4,6.6,0.364,0.4,1.3,0.308,2.8,3.1,0.903,0.7,4.0,4.9,4.9,2.4,2.2,0.5,0
Player_41,18,34.3,29.8,6.5,15.4,0.422,1.8,4.9,0.367,6.4,7.2,0.889,0.0,1.2,1.6,0.8,1.7,2.3,4.7,1
Player_42,4,36.5,26.5,4.5,8.7,0.517,1.4,3.9,0.359,4.5,5.0,0.9,2.4,0.8,3.7,9.9,2.2,2.9,3.9,1
Player_43,60,33.5,18.9,3.4,8.1,0.42,1.9,5.4,0.352,5.4,7.9,0.684,3.5,1.3,5.2,5.9,1.3,1.5,3.7,0
Player_44,14,31.7,,2.9,7.4,0.392,0.0,0.0,0.0,2.6,3.3,0.788,2.7,1.9,4.7,2.6,1.1,1.8,1.0,0
Player_45,9,26.6,18.8,4.2,9.3,0.452,0.6,1.7,0.353,6.7,10.0,0.67,3.9,4.3,8.4,5.6,0.3,1.0,3.1,1
Player_46,53,23.2,6.4,1.1,2.9,0.379,1.5,5.6,0.268,5.7,7.5,0.76,0.3,6.9,7.4,0.8,1.6,2.0,2.7,0
Player_47,2,7.9,12.2,2.5,6.1,0.41,2.9,11.3,0.257,6.0,8.0,0.75,3.6,2.3,6.1,8.0,1.5,1.4,4.9,0
Player_48,60,18.5,1.7,0.4,1.1,0.364,1.2,3.2,0.375,1.2,1.6,0.75,3.3,7.5,11.0,9.3,1.4,1.3,3.8,1
Player_49,71,17.3,14.5,3.5,8.5,0.412,1.3,4.1,0.317,1.9,2.8,0.679,1.3,7.7,9.4,8.7,2.2,2.6,3.0,1
Player_50,44,13.6,16.5,4.0,7.7,0.519,2.1,4.6,0.457,2.0,2.5,0.8,3.9,7.7,11.8,3.4,2.5,0.2,4.3,0
Player_51,8,28.9,7.2,1.3,2.7,0.481,1.8,4.3,0.419,1.9,2.2,0.864,1.2,6.8,8.3,3.3,2.3,2.6,0.9,0
Player_52,47,21.4,28.9,5.9,11.8,0.5,0.9,2.5,0.36,6.0,8.3,0.723,3.6,3.2,7.3,0.4,0.4,2.6,0.3,1
Player_53,35,7.7,27.3,6.1,16.5,0.37,1.2,2.9,0.414,0.2,0.3,0.667,3.5,1.0,4.5,6.5,1.9,1.5,3.5,1
Player_54,78,12.3,21.8,4.2,10.8,0.389,0.7,2.6,0.269,0.5,0.7,0.714,3.0,4.8,8.0,5.3,0.2,1.5,0.7,0
Player_55,81,27.5,16.2,3.6,8.9,0.404,2.9,6.7,0.433,1.9,2.7,0.704,2.3,4.7,7.4,4.6,2.1,1.1,0.8,0
Player_56,36,7.5,26.2,5.1,10.7,0.477,0.4,1.2,0.333,1.4,1.9,0.737,0.5,6.9,7.5,9.1,1.1,3.0,3.8,1
Player_57,50,33.1,,0.9,1.8,0.5,1.1,3.5,0.314,1.6,2.3,0.696,2.1,8.0,10.4,1.7,0.4,0.3,1.5,0
Player_58,4,21.3,23.8,4.2,10.7,0.393,0.1,0.3,0.333,5.6,7.7,0.727,1.4,4.3,5.8,0.1,2.6,1.8,3.2,1
Player_59,2,20.9,4.2,0.7,1.6,0.437,0.7,1.9,0.368,3.9,5.7,0.684,3.2,3.1,6.7,0.7,1.8,2.0,4.6,0
Player_60,6,24.5,23.9,4.8,9.7,0.495,2.3,8.6,0.267,0.0,0.0,0.0,3.0,1.9,5.1,2.2,1.1,2.8,1.7,1
Player_61,54,32.2,8.6,1.8,4.3,0.419,0.6,1.9,0.316,3.0,4.1,0.732,3.6,0.5,4.3,0.3,0.1,2.3,1.2,0
Player_62,4,16.5,,5.6,10.3,0.544,0.2,0.6,0.333,2.9,4.2,0.69,0.1,4.3,4.7,5.0,1.6,1.9,0.7,1
Player_63,54,27.4,28.3,5.0,10.6,0.472,1.4,3.0,0.467,0.8,1.2,0.667,3.2,4.7,8.0,3.1,2.8,0.4,0.8,1
Player_64,63,23.7,4.9,1.1,2.5,0.44,0.0,0.0,0.0,4.7,6.2,0.758,3.8,6.7,10.6,1.8,1.8,1.1,0.5,0
Player_65,18,13.8,14.1,3.2,6.2,0.516,0.3,1.1,0.273,4.9,6.4,0.766,3.2,4.3,7.7,7.5,2.9,0.4,0.6,0
Player_66,44,34.0,29.4,7.1,19.8,0.359,2.4,7.7,0.312,5.0,7.4,0.676,0.5,7.4,8.1,2.0,0.4,2.6,2.3,0
Player_67,34,31.3,,3.0,6.0,0.5,2.3,8.4,0.274,5.1,7.1,0.718,0.3,5.2,5.8,6.9,1.7,2.2,1.7,0
Player_68,74,26.7,26.0,5.2,10.0,0.52,2.7,8.1,0.333,0.0,0.0,0.0,0.1,6.8,7.2,,2.4,2.3,3.6,1
Player_69,62,33.1,17.9,3.2,6.4,0.5,2.6,5.8,0.448,6.7,10.4,0.644,2.5,1.6,4.4,5.1,1.6,2.0,4.4,1
Player_70,14,33.6,11.6,2.6,6.7,0.388,2.0,4.1,0.488,5.7,6.4,0.891,2.5,6.9,9.7,9.3,0.3,1.5,4.0,1
Player_71,48,28.4,8.9,1.9,4.2,0.452,0.2,0.5,0.4,6.3,9.3,0.677,3.9,5.6,9.7,0.4,1.7,0.4,2.7,0
Player_72,15,32.6,6.5,1.2,2.8,0.429,2.3,7.8,0.295,0.1,0.1,1.0,1.6,1.8,3.5,5.0,1.8,1.0,0.7,1
Player_73,72,28.0,23.0,4.1,7.5,0.547,2.5,9.0,0.278,6.5,10.2,0.637,1.3,1.9,3.6,8.5,2.2,0.4,3.6,1
Player_74,78,27.4,11.9,2.5,4.6,0.543,2.4,6.2,0.387,5.7,6.4,0.891,2.5,7.4,10.3,5.9,2.3,2.2,1.9,0
Player_75,62,25.4,15.6,3.2,7.2,0.444,1.5,4.5,0.333,5.9,8.3,0.711,3.3,0.7,4.1,2.8,2.3,0.5,0.6,1
Player_76,40,29.8,15.0,3.3,8.6,0.384,0.7,2.0,0.35,0.7,0.9,0.778,3.7,4.0,7.9,4.0,2.0,2.1,4.2,1
Player_77,80,10.2,17.5,3.0,8.1,0.37,2.5,7.1,0.352,5.2,6.6,0.788,3.2,2.9,6.3,6.8,0.6,2.1,1.8,1
Player_78,53,34.1,26.0,6.1,11.5,0.53,2.2,5.4,0.407,6.7,7.7,0.87,1.7,5.5,7.5,8.9,1.2,1.4,1.2,1
Player_79,24,33.8,29.4,5.0,11.7,0.427,2.9,6.6,0.439,4.7,6.5,0.723,2.5,6.8,9.6,0.4,2.3,0.4,4.4,1
Player_80,26,6.0,12.5,2.3,6.2,0.371,0.5,1.2,0.417,4.0,5.4,0.741,3.4,3.2,6.6,0.7,2.9,0.9,4.5,0
Player_81,60,32.3,24.9,4.9,10.7,0.458,0.7,1.5,0.467,6.6,7.6,0.868,2.0,3.7,6.1,3.3,0.2,1.0,1.8,1
Player_82,41,9.3,23.1,5.7,15.0,0.38,0.6,1.4,0.429,3.1,4.4,0.705,0.9,7.9,8.8,2.3,1.6,2.1,1.9,1
Player_83,29,16.1,17.4,3.5,6.8,0.515,2.4,4.8,0.5,4.2,6.2,0.677,0.7,6.4,7.3,2.6,0.9,0.3,3.0,0
Player_84,15,29.5,28.7,6.0,16.4,0.366,0.6,2.0,0.3,3.3,4.9,0.673,0.0,7.2,7.6,2.2,0.7,2.5,3.7,0
Player_85,45,10.3,6.4,1.5,3.8,0.395,0.2,0.5,0.4,6.5,10.1,0.644,2.9,3.8,6.9,2.0,1.5,2.3,0.5,0
Player_86,65,32.0,3.7,0.7,1.9,0.368,3.0,11.8,0.254,0.5,0.7,0.714,0.4,2.3,2.8,1.3,1.8,0.6,3.0,0
Player_87,71,32.5,25.7,4.3,10.6,0.406,0.1,0.2,0.5,3.5,5.5,0.636,1.0,3.6,5.1,9.3,0.0,2.2,4.8,1
Player_88,9,21.7,13.5,2.6,5.6,0.464,2.5,6.7,0.373,4.8,7.4,0.649,1.2,5.9,7.5,1.4,2.3,2.0,1.5,0
Player_89,1,5.2,25.5,4.7,12.9,0.364,1.1,3.0,0.367,5.5,6.9,0.797,2.2,1.3,3.9,2.0,2.5,2.2,4.6,0
Player_90,8,14.5,26.8,6.5,13.5,0.481,2.5,5.0,0.5,4.1,4.8,0.854,1.6,2.5,4.3,2.5,2.9,0.6,4.8,1
Player_91,63,25.4,2.3,0.5,1.1,0.455,1.7,6.3,0.27,6.4,8.4,0.762,2.7,0.8,3.6,9.3,0.5,0.5,1.5,0
Player_92,11,37.4,26.6,6.3,15.8,0.399,2.7,5.6,0.482,6.6,8.6,0.767,0.2,3.7,4.4,7.6,1.8,0.7,3.8,1
Player_93,81,25.8,13.7,2.6,6.7,0.388,2.8,10.9,0.257,0.5,0.7,0.714,0.5,6.7,7.5,7.9,1.3,1.1,1.3,0
Player_94,8,13.6,15.6,2.7,7.4,0.365,0.0,0.0,0.0,2.8,3.9,0.718,2.0,0.7,3.1,1.0,1.0,2.4,3.7,0
Player_95,35,25.9,19.0,3.6,7.2,0.5,0.2,0.6,0.333,0.2,0.3,0.667,1.3,5.6,7.1,8.4,1.7,2.2,4.0,1
Player_96,35,22.8,27.8,6.7,17.4,0.385,0.8,2.5,0.32,2.3,3.1,0.742,1.2,7.5,8.9,4.1,2.3,2.8,1.4,1
Player_97,33,30.7,1.1,0.2,0.5,0.4,2.0,6.6,0.303,3.8,4.4,0.864,0.3,2.3,3.1,2.6,0.1,0.2,3.6,0
Player_98,5,8.5,14.6,2.9,5.4,0.537,2.7,7.5,0.36,6.4,9.8,0.653,3.6,5.7,9.6,5.8,2.9,0.0,4.1,0
Player_99,41,30.1,20.8,4.3,9.4,0.457,1.4,4.6,0.304,5.9,7.4,0.797,2.8,7.8,10.7,8.2,2.4,2.1,1.9,1
Player_100,28,22.9,21.8,3.8,7.9,0.481,1.8,3.8,0.474,0.9,1.4,0.643,0.5,7.7,,7.8,2.3,0.8,1.0,1
Player_101,7,36.8,20.9,3.7,7.8,0.474,0.6,1.3,0.462,0.7,0.8,0.875,0.3,2.3,2.8,8.9,2.3,1.0,0.6,1
Player_102,73,16.3,4.5,0.9,2.5,0.36,2.4,7.0,0.343,4.1,6.5,0.631,3.9,1.3,5.2,9.3,1.2,1.6,3.0,0
Player_103,72,25.9,9.3,2.0,4.9,0.408,2.9,9.0,0.322,3.7,4.2,0.881,2.7,1.6,4.5,2.4,2.3,0.3,4.9,0
Player_104,12,35.8,11.1,2.5,6.3,0.397,0.8,3.0,0.267,1.9,2.3,0.826,1.7,5.8,7.7,4.2,1.2,1.9,4.2,0
Player_105,34,8.4,24.2,5.7,15.8,0.361,1.5,3.3,0.455,6.3,7.1,0.887,2.8,5.9,9.1,0.1,2.7,1.0,2.3,1
Player_106,33,35.9,8.7,1.8,3.9,0.462,0.3,1.1,0.273,6.5,9.4,0.691,3.0,5.6,8.8,8.8,0.5,1.9,2.8,0
Player_107,48,27.7,6.7,1.4,3.6,0.389,1.7,4.1,0.415,2.8,4.3,0.651,3.1,3.0,6.6,1.5,0.9,2.5,1.5,0
Player_108,23,7.2,28.7,5.4,12.1,0.446,1.5,4.2,0.357,6.2,8.2,0.756,1.9,1.8,3.8,8.6,1.7,0.5,1.0,1
Player_109,62,14.9,0.8,0.2,0.5,0.4,0.4,1.1,0.364,2.7,4.2,0.643,1.7,4.9,6.9,3.3,1.0,2.8,2.5,1
Player_110,37,28.4,29.9,7.2,14.3,0.503,1.3,3.6,0.361,5.2,7.3,0.712,0.0,4.1,4.1,3.7,1.3,1.6,2.4,1
Player_111,44,7.2,20.5,4.3,11.8,0.364,1.0,2.3,0.435,3.3,4.7,0.702,3.7,6.0,10.1,0.4,1.5,2.8,2.7,0
Player_112,35,24.2,24.9,5.7,11.5,0.496,1.6,4.8,0.333,0.9,1.4,0.643,2.4,3.8,6.7,3.3,2.6,0.6,4.8,1
Player_113,65,16.4,9.2,2.1,4.5,0.467,1.8,6.5,0.277,6.5,8.1,0.802,0.8,3.0,4.2,8.9,1.6,1.8,3.1,1
Player_114,47,25.5,0.9,0.2,0.5,0.4,0.0,0.0,0.0,3.2,4.1,0.78,3.7,2.7,6.7,0.3,1.1,1.2,3.1,0
Player_115,78,6.5,22.3,5.5,12.1,0.455,2.3,6.9,0.333,5.1,7.9,0.646,3.7,2.1,6.0,4.1,0.7,2.3,0.8,0
Player_116,3,33.8,25.1,5.2,12.5,0.416,2.1,7.8,0.269,2.6,4.0,0.65,4.0,2.5,6.9,0.3,1.2,1.8,5.0,1
Player_117,1,37.1,22.3,5.1,11.4,0.447,1.1,3.8,0.289,0.1,0.2,0.5,3.5,1.2,5.2,3.7,1.5,1.5,3.9,1
Player_118,5,37.0,4.7,0.8,2.0,0.4,0.2,0.6,0.333,0.7,1.1,0.636,4.0,3.1,7.6,1.7,2.2,2.7,4.4,0
Player_119,14,29.7,22.7,4.4,8.9,0.494,2.3,5.8,0.397,3.5,4.1,0.854,1.0,0.8,2.0,2.5,0.4,1.1,2.2,1
Player_120,27,9.3,23.2,5.2,9.7,0.536,2.9,10.9,0.266,4.8,7.3,0.658,3.4,1.9,5.8,8.8,0.7,0.7,2.6,1
Player_121,9,30.0,19.9,4.0,8.4,0.476,0.7,2.2,0.318,2.3,3.0,0.767,3.3,6.1,9.5,4.4,1.1,1.8,2.7,1
Player_122,79,5.8,23.1,4.2,9.6,0.438,1.0,2.4,0.417,4.9,7.8,0.628,0.9,2.9,3.9,2.7,1.1,1.9,1.1,0
Player_123,15,5.7,25.5,4.3,8.5,0.506,0.6,1.5,0.4,4.9,6.5,0.754,0.4,5.5,5.9,5.9,1.2,1.3,3.5,0
Player_124,42,15.7,18.6,4.2,9.1,0.462,1.7,6.1,0.279,4.9,6.7,0.731,3.9,5.9,9.9,1.4,2.4,1.5,4.5,0
Player_125,77,21.1,3.1,0.5,1.1,0.455,0.5,1.0,0.5,3.4,4.6,0.739,1.2,4.9,6.5,2.6,1.0,2.9,1.0,1
Player_126,51,30.4,14.9,2.5,4.6,0.543,1.1,4.4,0.25,6.4,8.1,0.79,3.5,7.7,11.6,5.5,1.5,2.2,0.6,0
Player_127,63,27.5,2.8,0.5,1.2,0.417,2.1,4.7,0.447,3.4,3.9,0.872,0.0,0.7,1.1,2.4,1.9,0.3,3.7,1
Player_128,52,19.7,12.5,2.4,6.4,0.375,1.7,6.1,0.279,3.2,5.0,0.64,0.1,6.0,6.4,6.8,0.7,0.6,1.5,1
Player_129,4,14.0,12.5,2.4,4.7,0.511,1.2,3.3,0.364,1.4,2.1,0.667,1.9,7.7,9.9,,2.2,2.9,3.2,0
Player_130,23,37.9,2.4,0.5,1.2,0.417,1.3,3.9,0.333,2.2,2.6,0.846,1.0,7.0,8.4,7.7,1.6,2.2,3.5,0
Player_131,15,19.1,10.8,2.0,4.9,0.408,1.7,6.4,0.266,0.3,0.4,0.75,2.8,1.8,4.8,9.5,1.3,2.7,1.7,0
Player_132,43,19.9,3.8,0.8,1.8,0.444,0.0,0.0,0.0,4.4,6.2,0.71,2.3,3.0,5.7,1.2,2.4,0.9,4.1,0
Player_133,29,10.4,24.3,4.5,11.3,0.398,0.2,0.6,0.333,1.7,2.2,0.773,0.3,1.8,2.4,3.3,0.7,2.2,2.8,0
Player_134,36,31.2,,5.9,13.0,0.454,2.6,5.5,0.473,2.1,2.6,0.808,0.7,5.0,6.0,3.2,2.6,2.1,4.4,1
Player_135,13,27.9,,0.5,1.2,0.417,0.2,0.4,0.5,5.4,8.3,0.651,1.6,5.8,7.7,1.5,1.7,0.9,3.9,0
Player_136,32,12.3,28.7,5.1,9.2,0.554,2.1,5.2,0.404,2.3,3.3,0.697,0.7,2.9,4.0,8.1,1.8,1.7,4.4,1
Player_137,71,7.7,15.9,3.7,9.2,0.402,2.8,9.4,0.298,1.7,2.3,0.739,3.2,4.5,7.8,7.6,2.6,1.9,0.3,1
Player_138,59,27.5,9.3,1.6,3.9,0.41,0.8,1.8,0.444,1.2,1.7,0.706,1.7,5.7,7.6,4.8,2.5,1.4,1.4,1
Player_139,28,26.6,2.8,0.6,1.1,0.545,1.1,2.5,0.44,5.4,6.2,0.871,0.4,3.7,4.5,5.4,1.8,2.5,0.6,0
Player_140,66,14.0,15.3,2.7,5.9,0.458,1.7,4.8,0.354,0.9,1.2,0.75,1.9,6.9,9.0,0.6,2.3,2.5,2.3,1
Player_141,42,36.4,23.9,4.9,13.6,0.36,2.6,8.6,0.302,3.2,3.8,0.842,0.4,6.3,7.1,5.6,1.3,2.6,4.5,1
Player_142,45,10.0,21.4,4.5,10.0,0.45,2.8,9.6,0.292,3.5,4.2,0.833,0.5,1.0,1.7,7.9,1.6,2.4,2.4,1
Player_143,62,19.3,2.0,0.3,0.7,0.429,2.2,5.2,0.423,4.8,6.9,0.696,1.0,5.2,6.4,5.7,0.2,1.5,4.3,0
Player_144,57,36.1,2.7,0.6,1.6,0.375,0.3,0.6,0.5,4.4,6.8,0.647,3.4,2.3,6.1,2.7,0.3,1.1,1.8,0
Player_145,6,18.9,12.4,2.2,5.5,0.4,2.0,7.8,0.256,5.7,7.4,0.77,3.7,4.7,8.6,6.7,2.5,2.5,1.8,0
Player_146,28,26.1,9.2,1.9,4.5,0.422,1.2,3.0,0.4,0.3,0.4,0.75,3.3,7.7,11.3,3.6,0.2,1.5,4.5,0
Player_147,28,18.1,7.4,1.5,3.9,0.385,1.4,5.2,0.269,2.1,3.0,0.7,1.3,7.1,8.6,5.4,0.5,0.7,2.2,0
Player_148,44,14.0,8.8,1.9,5.1,0.373,0.1,0.4,0.25,2.0,3.1,0.645,1.1,3.5,4.7,4.9,2.4,1.5,4.0,0
Player_149,30,37.5,24.2,4.7,10.6,0.443,0.6,2.1,0.286,1.0,1.5,0.667,2.2,2.7,5.2,3.8,0.0,0.4,1.3,1
Player_150,62,18.5,27.9,6.0,13.7,0.438,2.4,5.6,0.429,2.0,3.1,0.645,2.9,2.3,5.3,7.2,0.8,2.1,4.8,0
Player_151,75,34.5,12.5,3.1,6.8,0.456,1.4,5.1,0.275,2.2,3.0,0.733,4.0,4.5,8.9,8.8,1.8,1.0,3.0,1
Player_152,62,12.6,27.2,6.0,16.6,0.361,0.9,3.2,0.281,3.7,5.5,0.673,0.5,1.4,2.3,0.1,1.8,0.8,3.8,1
Player_153,1,12.0,10.0,2.5,6.2,0.403,1.2,3.8,0.316,4.6,5.4,0.852,0.2,4.6,4.9,9.3,2.3,2.9,0.6,1
Player_154,27,6.0,14.6,2.5,4.7,0.532,2.6,7.0,0.371,2.7,3.4,0.794,2.8,0.5,3.6,5.1,1.5,2.3,2.6,0
Player_155,62,26.5,7.2,1.2,3.2,0.375,2.2,5.6,0.393,5.0,6.5,0.769,3.3,2.9,6.5,7.0,1.5,2.4,4.5,0
Player_156,77,17.2,19.4,4.0,9.1,0.44,0.8,1.8,0.444,2.4,3.3,0.727,3.4,2.1,5.6,8.6,2.2,1.9,4.4,0
Player_157,3,33.5,29.4,5.4,10.1,0.535,0.4,1.2,0.333,2.0,3.1,0.645,2.7,7.8,10.6,4.7,1.5,2.5,0.4,1
Player_158,70,20.6,18.3,3.9,9.2,0.424,0.8,2.5,0.32,3.8,5.8,0.655,3.8,6.0,10.0,8.3,1.8,2.3,1.7,1
Player_159,72,37.0,11.1,2.1,4.7,0.447,2.8,7.6,0.368,0.2,0.2,1.0,2.0,3.1,5.4,1.8,2.7,1.8,2.3,1
Player_160,27,11.1,19.6,3.5,9.4,0.372,1.7,5.0,0.34,0.6,0.7,0.857,3.7,1.2,5.2,1.6,1.2,2.9,1.0,0
Player_161,9,33.7,4.1,0.7,1.4,0.5,1.6,4.4,0.364,2.9,3.7,0.784,3.9,4.4,8.6,6.6,1.2,0.6,3.7,1
Player_162,62,30.6,26.7,5.6,14.7,0.381,1.8,5.9,0.305,6.6,8.2,0.805,3.4,2.1,5.9,8.7,0.0,2.8,1.1,1
Player_163,37,30.4,15.3,2.7,6.4,0.422,1.1,4.2,0.262,5.1,7.2,0.708,1.2,4.5,6.1,8.9,1.8,1.2,1.9,1
Player_164,51,32.9,13.8,3.0,5.6,0.536,2.4,5.6,0.429,0.6,0.9,0.667,0.8,6.8,7.9,6.4,0.1,1.6,3.4,0
Player_165,44,30.1,17.8,3.0,8.3,0.361,1.6,4.4,0.364,5.9,9.3,0.634,2.2,5.1,7.7,5.3,1.5,0.4,2.5,1
Player_166,24,25.7,18.9,4.7,10.9,0.431,0.4,0.9,0.444,5.1,7.3,0.699,1.8,5.3,,3.3,2.4,1.6,3.7,0
Player_167,79,9.3,2.6,0.5,1.0,0.5,0.4,1.3,0.308,4.3,6.5,0.662,3.5,4.6,8.5,9.8,1.6,1.8,4.8,0
Player_168,59,6.1,20.6,3.9,8.9,0.438,1.6,5.5,0.291,5.7,7.8,0.731,0.4,7.5,8.2,3.2,0.8,3.0,0.8,0
Player_169,32,35.4,7.6,1.4,3.7,0.378,2.8,10.8,0.259,2.8,3.4,0.824,1.0,7.5,8.9,7.4,2.4,2.9,3.6,0
Player_170,52,25.3,21.6,5.1,10.7,0.477,0.9,2.3,0.391,1.6,2.2,0.727,3.0,4.3,7.6,,0.8,2.9,1.3,1
