GP,MIN,FGM,FG%,3P Made,3P%,FTA,FT%,OREB,REB,AST,STL,BLK,TOV,target_5yrs,EFF_RATING,AST_TO_RATIO,REB_PER_MIN
62,30.0,1.3,0.481,0.2,0.286,4.5,0.644,3.7,5.8,7.7,3.0,0.6,2.8,0,0.2258,2.749,0.1933
62,28.0,0.5,0.455,2.8,0.4,4.1,0.707,0.7,5.9,1.5,0.0,1.6,3.3,0,0.0806,0.4544,0.2107
47,10.1,1.8,0.375,2.3,0.489,4.8,0.792,0.2,6.2,4.4,0.6,2.0,3.2,1,0.2298,1.3746,0.6138
62,31.9,1.9,0.422,2.0,0.408,4.6,0.826,1.8,6.8,1.8,0.6,0.1,3.6,0,0.1097,0.4999,0.2132
51,12.4,7.0,0.432,2.5,0.472,3.9,0.897,3.2,7.4,6.6,2.2,0.7,0.6,1,0.449,10.9817,0.5967
55,12.4,3.3,0.524,1.9,0.452,1.1,0.818,3.1,6.6,1.6,1.1,1.4,1.9,0,0.2164,0.8417,0.5322
64,22.7,2.0,0.556,2.9,0.349,4.1,0.854,3.7,10.6,9.0,1.4,1.0,2.3,0,0.3297,3.9113,0.4669
3,24.6,4.3,0.361,2.1,0.404,1.7,0.706,2.1,4.4,2.3,0.4,2.1,1.5,0,3.8333,1.5323,0.1789
51,24.1,0.9,0.45,2.8,0.329,1.1,0.818,0.4,6.5,2.9,1.2,1.5,1.0,1,0.2314,2.8971,0.2697
7,8.0,2.7,0.415,1.6,0.4,8.9,0.73,2.4,8.8,8.5,0.3,0.5,0.9,0,2.5,9.434,1.0999
21,34.0,4.5,0.529,0.4,0.25,5.9,0.712,3.1,6.9,4.6,1.6,2.7,2.0,0,0.7905,2.2989,0.2029
73,13.8,3.4,0.405,1.6,0.262,5.7,0.807,0.4,3.6,0.2,0.3,0.9,2.6,0,0.0644,0.0769,0.2609
39,9.3,2.4,0.364,0.4,0.308,3.1,0.903,0.7,4.9,4.9,2.4,2.2,0.5,0,0.4103,9.7804,0.5268
18,34.3,6.5,0.422,1.8,0.367,7.2,0.889,0.0,1.6,0.8,1.7,2.3,4.7,1,0.4111,0.1702,0.0466
4,36.5,4.5,0.517,1.4,0.359,5.0,0.9,2.4,3.7,9.9,2.2,2.9,3.9,1,4.7,2.5378,0.1014
60,33.5,3.4,0.42,1.9,0.352,7.9,0.684,3.5,5.2,5.9,1.3,1.5,3.7,0,0.185,1.5942,0.1552
14,31.7,2.9,0.392,0.0,0.0,3.3,0.788,2.7,4.7,2.6,1.1,1.8,1.0,0,0.8143,2.5974,0.1483
9,26.6,4.2,0.452,0.6,0.353,10.0,0.67,3.9,8.4,5.6,0.3,1.0,3.1,1,1.4556,1.8059,0.3158
53,23.2,1.1,0.379,1.5,0.268,7.5,0.76,0.3,7.4,0.8,1.6,2.0,2.7,0,0.1585,0.2962,0.319
2,7.9,2.5,0.41,2.9,0.257,8.0,0.75,3.6,6.1,8.0,1.5,1.4,4.9,0,6.3,1.6323,0.7721
60,18.5,0.4,0.364,1.2,0.375,1.6,0.75,3.3,11.0,9.3,1.4,1.3,3.8,1,0.32,2.4467,0.5946
71,17.3,3.5,0.412,1.3,0.317,2.8,0.679,1.3,9.4,8.7,2.2,2.6,3.0,1,0.3169,2.899,0.5433
44,13.6,4.0,0.519,2.1,0.457,2.5,0.8,3.9,11.8,3.4,2.5,0.2,4.3,0,0.3886,0.7905,0.8676
8,28.9,1.3,0.481,1.8,0.419,2.2,0.864,1.2,8.3,3.3,2.3,2.6,0.9,0,2.075,3.6626,0.2872
47,21.4,5.9,0.5,0.9,0.36,8.3,0.723,3.6,7.3,0.4,0.4,2.6,0.3,1,0.2979,1.3289,0.3411
35,7.7,6.1,0.37,1.2,0.414,0.3,0.667,3.5,4.5,6.5,1.9,1.5,3.5,1,0.4829,1.8566,0.5843
78,12.3,4.2,0.389,0.7,0.269,0.7,0.714,3.0,8.0,5.3,0.2,1.5,0.7,0,0.2346,7.5606,0.6504
81,27.5,3.6,0.404,2.9,0.433,2.7,0.704,2.3,7.4,4.6,2.1,1.1,0.8,0,0.2123,5.7428,0.2691
36,7.5,5.1,0.477,0.4,0.333,1.9,0.737,0.5,7.5,9.1,1.1,3.0,3.8,1,0.5972,2.3941,0.9999
50,33.1,0.9,0.5,1.1,0.314,2.3,0.696,2.1,10.4,1.7,0.4,0.3,1.5,0,0.23,1.1326,0.3142
4,21.3,4.2,0.393,0.1,0.333,7.7,0.727,1.4,5.8,0.1,2.6,1.8,3.2,1,2.3,0.0312,0.2723
2,20.9,0.7,0.437,0.7,0.368,5.7,0.684,3.2,6.7,0.7,1.8,2.0,4.6,0,2.75,0.1521,0.3206
6,24.5,4.8,0.495,2.3,0.267,0.0,0.0,3.0,5.1,2.2,1.1,2.8,1.7,1,2.3833,1.2934,0.2082
54,32.2,1.8,0.419,0.6,0.316,4.1,0.732,3.6,4.3,0.3,0.1,2.3,1.2,0,0.1204,0.2498,0.1335
4,16.5,5.6,0.544,0.2,0.333,4.2,0.69,0.1,4.7,5.0,1.6,1.9,0.7,1,4.2,7.1327,0.2848
54,27.4,5.0,0.472,1.4,0.467,1.2,0.667,3.2,8.0,3.1,2.8,0.4,0.8,1,0.3352,3.8702,0.292
63,23.7,1.1,0.44,0.0,0.0,6.2,0.758,3.8,10.6,1.8,1.8,1.1,0.5,0,0.2286,3.5928,0.4472
18,13.8,3.2,0.516,0.3,0.273,6.4,0.766,3.2,7.7,7.5,2.9,0.4,0.6,0,1.0889,12.4792,0.5579
44,34.0,7.1,0.359,2.4,0.312,7.4,0.676,0.5,8.1,2.0,0.4,2.6,2.3,0,0.3523,0.8692,0.2382
34,31.3,3.0,0.5,2.3,0.274,7.1,0.718,0.3,5.8,6.9,1.7,2.2,1.7,0,0.4676,4.0564,0.1853
74,26.7,5.2,0.52,2.7,0.333,0.0,0.0,0.1,7.2,5.3,2.4,2.3,3.6,1,0.2541,1.4718,0.2697
62,33.1,3.2,0.5,2.6,0.448,10.4,0.644,2.5,4.4,5.1,1.6,2.0,4.4,1,0.1323,1.1588,0.1329
14,33.6,2.6,0.388,2.0,0.488,6.4,0.891,2.5,9.7,9.3,0.3,1.5,4.0,1,1.3357,2.3244,0.2887
48,28.4,1.9,0.452,0.2,0.4,9.3,0.677,3.9,9.7,0.4,1.7,0.4,2.7,0,0.175,0.1481,0.3415
15,32.6,1.2,0.429,2.3,0.295,0.1,1.0,1.6,3.5,5.0,1.8,1.0,0.7,1,0.7867,7.1327,0.1074
72,28.0,4.1,0.547,2.5,0.278,10.2,0.637,1.3,3.6,8.5,2.2,0.4,3.6,1,0.1597,2.3605,0.1286
78,27.4,2.5,0.543,2.4,0.387,6.4,0.891,2.5,10.3,5.9,2.3,2.2,1.9,0,0.2641,3.1036,0.3759
62,25.4,3.2,0.444,1.5,0.333,8.3,0.711,3.3,4.1,2.8,2.3,0.5,0.6,1,0.1597,4.6589,0.1614
40,29.8,3.3,0.384,0.7,0.35,0.9,0.778,3.7,7.9,4.0,2.0,2.1,4.2,1,0.3725,0.9522,0.2651
80,10.2,3.0,0.37,2.5,0.352,6.6,0.788,3.2,6.3,6.8,0.6,2.1,1.8,1,0.195,3.7757,0.6176
53,34.1,6.1,0.53,2.2,0.407,7.7,0.87,1.7,7.5,8.9,1.2,1.4,1.2,1,0.4321,7.4105,0.2199
24,33.8,5.0,0.427,2.9,0.439,6.5,0.723,2.5,9.6,0.4,2.3,0.4,4.4,1,0.4792,0.0909,0.284
26,6.0,2.3,0.371,0.5,0.417,5.4,0.741,3.4,6.6,0.7,2.9,0.9,4.5,0,0.2885,0.1555,1.0998
60,32.3,4.9,0.458,0.7,0.467,7.6,0.868,2.0,6.1,3.3,0.2,1.0,1.8,1,0.2117,1.8323,0.1888
41,9.3,5.7,0.38,0.6,0.429,4.4,0.705,0.9,8.8,2.3,1.6,2.1,1.9,1,0.422,1.2099,0.9461
29,16.1,3.5,0.515,2.4,0.5,6.2,0.677,0.7,7.3,2.6,0.9,0.3,3.0,0,0.331,0.8664,0.4534
15,29.5,6.0,0.366,0.6,0.3,4.9,0.673,0.0,7.6,2.2,0.7,2.5,3.7,0,0.9133,0.5944,0.2576
45,10.3,1.5,0.395,0.2,0.4,10.1,0.644,2.9,6.9,2.0,1.5,2.3,0.5,0,0.2244,3.992,0.6698
65,32.0,0.7,0.368,3.0,0.254,0.7,0.714,0.4,2.8,1.3,1.8,0.6,3.0,0,0.0615,0.4332,0.0875
71,32.5,4.3,0.406,0.1,0.5,5.5,0.636,1.0,5.1,9.3,0.0,2.2,4.8,1,0.1986,1.9371,0.1569
9,21.7,2.6,0.464,2.5,0.373,7.4,0.649,1.2,7.5,1.4,2.3,2.0,1.5,0,1.3,0.9327,0.3456
1,5.2,4.7,0.364,1.1,0.367,6.9,0.797,2.2,3.9,2.0,2.5,2.2,4.6,0,9.3,0.4347,0.7499
8,14.5,6.5,0.481,2.5,0.5,4.8,0.854,1.6,4.3,2.5,2.9,0.6,4.8,1,1.4125,0.5207,0.2965
63,25.4,0.5,0.455,1.7,0.27,8.4,0.762,2.7,3.6,9.3,0.5,0.5,1.5,0,0.173,6.1959,0.1417
11,37.4,6.3,0.399,2.7,0.482,8.6,0.767,0.2,4.4,7.6,1.8,0.7,3.8,1,1.3636,1.9995,0.1176
81,25.8,2.6,0.388,2.8,0.257,0.7,0.714,0.5,7.5,7.9,1.3,1.1,1.3,0,0.2333,6.0723,0.2907
8,13.6,2.7,0.365,0.0,0.0,3.9,0.718,2.0,3.1,1.0,1.0,2.4,3.7,0,0.675,0.2702,0.2279
35,25.9,3.6,0.5,0.2,0.333,0.3,0.667,1.3,7.1,8.4,1.7,2.2,4.0,1,0.54,2.0995,0.2741
35,22.8,6.7,0.385,0.8,0.32,3.1,0.742,1.2,8.9,4.1,2.3,2.8,1.4,1,0.6457,2.9265,0.3903
33,30.7,0.2,0.4,2.0,0.303,4.4,0.864,0.3,3.1,2.6,0.1,0.2,3.6,0,0.0606,0.722,0.101
5,8.5,2.9,0.537,2.7,0.36,9.8,0.653,3.6,9.6,5.8,2.9,0.0,4.1,0,2.74,1.4143,1.1293
41,30.1,4.3,0.457,1.4,0.304,7.4,0.797,2.8,10.7,8.2,2.4,2.1,1.9,1,0.5927,4.3135,0.3555
28,22.9,3.8,0.481,1.8,0.474,1.4,0.643,0.5,6.4,7.8,2.3,0.8,1.0,1,0.7,7.7922,0.2795
7,36.8,3.7,0.474,0.6,0.462,0.8,0.875,0.3,2.8,8.9,2.3,1.0,0.6,1,2.5714,14.8087,0.0761
73,16.3,0.9,0.36,2.4,0.343,6.5,0.631,3.9,5.2,9.3,1.2,1.6,3.0,0,0.1753,3.099,0.319
72,25.9,2.0,0.408,2.9,0.322,4.2,0.881,2.7,4.5,2.4,2.3,0.3,4.9,0,0.0847,0.4897,0.1737
12,35.8,2.5,0.397,0.8,0.267,2.3,0.826,1.7,7.7,4.2,1.2,1.9,4.2,0,1.075,0.9998,0.2151
34,8.4,5.7,0.361,1.5,0.455,7.1,0.887,2.8,9.1,0.1,2.7,1.0,2.3,1,0.4559,0.0435,1.0832
33,35.9,1.8,0.462,0.3,0.273,9.4,0.691,3.0,8.8,8.8,0.5,1.9,2.8,0,0.4879,3.1417,0.2451
48,27.7,1.4,0.389,1.7,0.415,4.3,0.651,3.1,6.6,1.5,0.9,2.5,1.5,0,0.2062,0.9993,0.2383
23,7.2,5.4,0.446,1.5,0.357,8.2,0.756,1.9,3.8,8.6,1.7,0.5,1.0,1,0.7391,8.5914,0.5277
62,14.9,0.2,0.4,0.4,0.364,4.2,0.643,1.7,6.9,3.3,1.0,2.8,2.5,1,0.1645,1.3195,0.4631
37,28.4,7.2,0.503,1.3,0.361,7.3,0.712,0.0,4.1,3.7,1.3,1.6,2.4,1,0.3622,1.541,0.1444
44,7.2,4.3,0.364,1.0,0.435,4.7,0.702,3.7,10.1,0.4,1.5,2.8,2.7,0,0.3409,0.1481,1.4026
35,24.2,5.7,0.496,1.6,0.333,1.4,0.643,2.4,6.7,3.3,2.6,0.6,4.8,1,0.3886,0.6874,0.2768
65,16.4,2.1,0.467,1.8,0.277,8.1,0.802,0.8,4.2,8.9,1.6,1.8,3.1,1,0.2138,2.87,0.2561
47,25.5,0.2,0.4,0.0,0.0,4.1,0.78,3.7,6.7,0.3,1.1,1.2,3.1,0,0.117,0.0967,0.2627
78,6.5,5.5,0.455,2.3,0.333,7.9,0.646,3.7,6.0,4.1,0.7,2.3,0.8,0,0.1923,5.1186,0.9229
3,33.8,5.2,0.416,2.1,0.269,4.0,0.65,4.0,6.9,0.3,1.2,1.8,5.0,1,3.0,0.06,0.2041
1,37.1,5.1,0.447,1.1,0.289,0.2,0.5,3.5,5.2,3.7,1.5,1.5,3.9,1,13.0,0.9485,0.1402
5,37.0,0.8,0.4,0.2,0.333,1.1,0.636,4.0,7.6,1.7,2.2,2.7,4.4,0,2.04,0.3863,0.2054
14,29.7,4.4,0.494,2.3,0.397,4.1,0.854,1.0,2.0,2.5,0.4,1.1,2.2,1,0.5429,1.1358,0.0673
27,9.3,5.2,0.536,2.9,0.266,7.3,0.658,3.4,5.8,8.8,0.7,0.7,2.6,1,0.5963,3.3833,0.6236
9,30.0,4.0,0.476,0.7,0.318,3.0,0.767,3.3,9.5,4.4,1.1,1.8,2.7,1,1.9333,1.629,0.3167
79,5.8,4.2,0.438,1.0,0.417,7.8,0.628,0.9,3.9,2.7,1.1,1.9,1.1,0,0.1241,2.4523,0.6723
15,5.7,4.3,0.506,0.6,0.4,6.5,0.754,0.4,5.9,5.9,1.2,1.3,3.5,0,0.9,1.6852,1.0349
42,15.7,4.2,0.462,1.7,0.279,6.7,0.731,3.9,9.9,1.4,2.4,1.5,4.5,0,0.3119,0.311,0.6305
77,21.1,0.5,0.455,0.5,0.5,4.6,0.739,1.2,6.5,2.6,1.0,2.9,1.0,1,0.1468,2.5974,0.308
51,30.4,2.5,0.543,1.1,0.25,8.1,0.79,3.5,11.6,5.5,1.5,2.2,0.6,0,0.4118,9.1514,0.3816
63,27.5,0.5,0.417,2.1,0.447,3.9,0.872,0.0,1.1,2.4,1.9,0.3,3.7,1,0.0317,0.6485,0.04
52,19.7,2.4,0.375,1.7,0.279,5.0,0.64,0.1,6.4,6.8,0.7,0.6,1.5,1,0.2615,4.5303,0.3249
4,14.0,2.4,0.511,1.2,0.364,2.1,0.667,1.9,9.9,5.3,2.2,2.9,3.2,0,4.7,1.6557,0.7071
23,37.9,0.5,0.417,1.3,0.333,2.6,0.846,1.0,8.4,7.7,1.6,2.2,3.5,0,0.7174,2.1994,0.2216
15,19.1,2.0,0.408,1.7,0.266,0.4,0.75,2.8,4.8,9.5,1.3,2.7,1.7,0,1.2333,5.585,0.2513
43,19.9,0.8,0.444,0.0,0.0,6.2,0.71,2.3,5.7,1.2,2.4,0.9,4.1,0,0.1186,0.2926,0.2864
29,10.4,4.5,0.398,0.2,0.333,2.2,0.773,0.3,2.4,3.3,0.7,2.2,2.8,0,0.3379,1.1782,0.2307
36,31.2,5.9,0.454,2.6,0.473,2.6,0.808,0.7,6.0,3.2,2.6,2.1,4.4,1,0.4139,0.7271,0.1923
13,27.9,0.5,0.417,0.2,0.5,8.3,0.651,1.6,7.7,1.5,1.7,0.9,3.9,0,0.4231,0.3845,0.276
32,12.3,5.1,0.554,2.1,0.404,3.3,0.697,0.7,4.0,8.1,1.8,1.7,4.4,1,0.4781,1.8405,0.3252
71,7.7,3.7,0.402,2.8,0.298,2.3,0.739,3.2,7.8,7.6,2.6,1.9,0.3,1,0.3197,25.2492,1.0129
59,27.5,1.6,0.41,0.8,0.444,1.7,0.706,1.7,7.6,4.8,2.5,1.4,1.4,1,0.2712,3.4261,0.2764
28,26.6,0.6,0.545,1.1,0.44,6.2,0.871,0.4,4.5,5.4,1.8,2.5,0.6,0,0.4786,8.985,0.1692
66,14.0,2.7,0.458,1.7,0.354,1.2,0.75,1.9,9.0,0.6,2.3,2.5,2.3,1,0.2197,0.2608,0.6428
42,36.4,4.9,0.36,2.6,0.302,3.8,0.842,0.4,7.1,5.6,1.3,2.6,4.5,1,0.3905,1.2442,0.195
45,10.0,4.5,0.45,2.8,0.292,4.2,0.833,0.5,1.7,7.9,1.6,2.4,2.4,1,0.3333,3.2903,0.17
62,19.3,0.3,0.429,2.2,0.423,6.9,0.696,1.0,6.4,5.7,0.2,1.5,4.3,0,0.1242,1.3253,0.3316
57,36.1,0.6,0.375,0.3,0.5,6.8,0.647,3.4,6.1,2.7,0.3,1.1,1.8,0,0.1158,1.4992,0.169
6,18.9,2.2,0.4,2.0,0.256,7.4,0.77,3.7,8.6,6.7,2.5,2.5,1.8,0,3.1667,3.7202,0.455
28,26.1,1.9,0.422,1.2,0.4,0.4,0.75,3.3,11.3,3.6,0.2,1.5,4.5,0,0.4964,0.7998,0.4329
28,18.1,1.5,0.385,1.4,0.269,3.0,0.7,1.3,8.6,5.4,0.5,0.7,2.2,0,0.4857,2.4534,0.4751
44,14.0,1.9,0.373,0.1,0.25,3.1,0.645,1.1,4.7,4.9,2.4,1.5,4.0,0,0.2341,1.2247,0.3357
30,37.5,4.7,0.443,0.6,0.286,1.5,0.667,2.2,5.2,3.8,0.0,0.4,1.3,1,0.41,2.9208,0.1387
62,18.5,6.0,0.438,2.4,0.429,3.1,0.645,2.9,5.3,7.2,0.8,2.1,4.8,0,0.25,1.4997,0.2865
75,34.5,3.1,0.456,1.4,0.275,3.0,0.733,4.0,8.9,8.8,1.8,1.0,3.0,1,0.264,2.9324,0.258
62,12.6,6.0,0.361,0.9,0.281,5.5,0.673,0.5,2.3,0.1,1.8,0.8,3.8,1,0.0871,0.0263,0.1825
1,12.0,2.5,0.403,1.2,0.316,5.4,0.852,0.2,4.9,9.3,2.3,2.9,0.6,1,20.5,15.4742,0.4083
27,6.0,2.5,0.532,2.6,0.371,3.4,0.794,2.8,3.6,5.1,1.5,2.3,2.6,0,0.4333,1.9608,0.5999
62,26.5,1.2,0.375,2.2,0.393,6.5,0.769,3.3,6.5,7.0,1.5,2.4,4.5,0,0.2032,1.5552,0.2453
77,17.2,4.0,0.44,0.8,0.444,3.3,0.727,3.4,5.6,8.6,2.2,1.9,4.4,0,0.2208,1.9541,0.3256
3,33.5,5.4,0.535,0.4,0.333,3.1,0.645,2.7,10.6,4.7,1.5,2.5,0.4,1,7.7333,11.7207,0.3164
70,20.6,3.9,0.424,0.8,0.32,5.8,0.655,3.8,10.0,8.3,1.8,2.3,1.7,1,0.3229,4.8795,0.4854
72,37.0,2.1,0.447,2.8,0.368,0.2,1.0,2.0,5.4,1.8,2.7,1.8,2.3,1,0.1597,0.7823,0.1459
27,11.1,3.5,0.372,1.7,0.34,0.7,0.857,3.7,5.2,1.6,1.2,2.9,1.0,0,0.4926,1.5984,0.4684
9,33.7,0.7,0.5,1.6,0.364,3.7,0.784,3.9,8.6,6.6,1.2,0.6,3.7,1,1.4667,1.7833,0.2552
62,30.6,5.6,0.381,1.8,0.305,8.2,0.805,3.4,5.9,8.7,0.0,2.8,1.1,1,0.3274,7.9019,0.1928
37,30.4,2.7,0.422,1.1,0.262,7.2,0.708,1.2,6.1,8.9,1.8,1.2,1.9,1,0.4514,4.6817,0.2007
51,32.9,3.0,0.536,2.4,0.429,0.9,0.667,0.8,7.9,6.4,0.1,1.6,3.4,0,0.3,1.8818,0.2401
44,30.1,3.0,0.361,1.6,0.364,9.3,0.634,2.2,7.7,5.3,1.5,0.4,2.5,1,0.2727,2.1192,0.2558
24,25.7,4.7,0.431,0.4,0.444,7.3,0.699,1.8,6.4,3.3,2.4,1.6,3.7,0,0.5208,0.8917,0.249
79,9.3,0.5,0.5,0.4,0.308,6.5,0.662,3.5,8.5,9.8,1.6,1.8,4.8,0,0.1924,2.0412,0.9139
59,6.1,3.9,0.438,1.6,0.291,7.8,0.731,0.4,8.2,3.2,0.8,3.0,0.8,0,0.2746,3.995,1.344
32,35.4,1.4,0.378,2.8,0.259,3.4,0.824,1.0,8.9,7.4,2.4,2.9,3.6,0,0.5875,2.055,0.2514
52,25.3,5.1,0.477,0.9,0.391,2.2,0.727,3.0,7.6,5.3,0.8,2.9,1.3,1,0.3808,4.0738,0.3004
62,31.3,4.2,0.5,2.6,0.257,5.0,0.72,0.4,3.3,6.1,2.2,1.0,2.2,1,0.2129,2.7715,0.1054
58,20.9,5.5,0.519,2.3,0.469,5.6,0.679,1.3,5.5,3.9,1.8,3.0,0.4,1,0.3017,9.7257,0.2631
52,8.9,3.2,0.478,0.7,0.318,4.6,0.826,1.5,3.6,9.6,0.5,1.4,0.9,0,0.3192,10.6548,0.4044
12,9.1,3.6,0.387,0.1,0.5,5.1,0.784,2.5,8.1,5.7,2.7,2.6,1.7,1,1.6583,3.351,0.89
39,27.6,1.0,0.435,0.3,0.273,8.5,0.776,0.6,5.1,9.4,0.6,0.6,1.8,1,0.3333,5.2193,0.1848
2,19.2,4.6,0.495,2.2,0.328,10.0,0.63,3.4,5.1,0.1,3.0,1.5,4.5,1,3.05,0.0222,0.2656
3,11.6,1.8,0.514,0.6,0.3,8.1,0.753,1.8,4.1,5.7,0.0,2.9,3.8,0,2.9,1.4996,0.3534
56,21.2,3.5,0.467,1.1,0.275,8.3,0.675,3.7,8.1,7.2,0.8,2.8,4.9,1,0.2643,1.4691,0.3821
81,7.1,2.0,0.364,1.5,0.429,9.7,0.68,1.9,9.2,7.5,0.6,2.1,3.1,1,0.1877,2.4186,1.2956
59,24.2,0.9,0.474,2.2,0.478,0.9,0.778,1.1,6.3,9.0,0.0,2.4,1.4,0,0.2881,6.424,0.2603
2,13.9,3.5,0.357,0.3,0.273,2.6,0.731,0.6,6.6,0.0,2.2,0.5,1.8,0,5.15,0.0,0.4748
2,31.3,0.4,0.444,1.2,0.375,5.4,0.648,0.0,3.4,0.0,2.1,2.2,1.7,0,2.25,0.0,0.1086
54,15.2,5.4,0.505,1.5,0.441,7.9,0.747,2.1,7.1,4.7,2.4,1.9,1.8,1,0.3278,2.6097,0.4671
1,20.0,2.1,0.368,1.6,0.34,5.5,0.636,0.4,4.6,0.3,0.8,0.3,3.4,0,2.7,0.0882,0.23
19,5.4,0.1,0.5,2.5,0.312,6.3,0.825,1.6,7.1,9.7,1.3,0.3,2.7,0,0.7737,3.5913,1.3146
2,7.4,3.9,0.398,0.5,0.5,1.1,0.909,2.4,3.6,2.2,2.0,0.3,2.1,1,4.9,1.0471,0.4864
53,18.0,0.4,0.364,2.4,0.393,2.8,0.643,1.1,5.4,4.7,1.3,2.2,0.9,0,0.2283,5.2164,0.3
44,20.8,1.7,0.548,2.1,0.488,7.8,0.654,0.7,3.7,0.6,2.1,0.4,0.3,0,0.125,1.9934,0.1779
32,24.8,4.9,0.527,1.7,0.354,1.9,0.632,3.1,6.3,5.2,1.9,1.4,1.3,1,0.5531,3.9969,0.254
70,14.6,0.5,0.385,2.1,0.262,3.6,0.694,3.8,11.7,3.8,0.3,1.1,0.7,0,0.2229,5.4208,0.8013
32,27.9,6.3,0.481,1.2,0.25,3.0,0.633,0.4,2.5,0.4,2.3,1.7,4.0,1,0.2531,0.1,0.0896
68,33.4,0.1,0.5,0.4,0.308,3.6,0.667,0.6,3.8,5.3,2.2,2.1,0.7,0,0.1706,7.5606,0.1138
55,30.7,1.3,0.542,2.0,0.435,7.6,0.658,3.8,8.2,3.9,2.0,2.1,3.7,1,0.2036,1.0538,0.2671
75,6.3,5.2,0.547,1.6,0.262,3.6,0.722,0.2,7.6,9.9,0.5,1.5,2.1,1,0.288,4.712,1.2062
56,20.9,2.2,0.386,1.9,0.328,5.0,0.78,3.9,7.6,2.1,0.8,1.4,0.6,0,0.2214,3.4942,0.3636
